neo4j_id,label,name,identifier,new_id
49,Molecular_Function,"oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor",GO:0016670,49
50,Molecular_Function,fucosyltransferase activity,GO:0008417,50
51,Molecular_Function,guanine/thymine mispair binding,GO:0032137,51
52,Molecular_Function,pre-miRNA transporter activity,GO:0090631,52
53,Molecular_Function,histone deacetylase regulator activity,GO:0035033,53
54,Molecular_Function,insulin-like growth factor II binding,GO:0031995,54
55,Molecular_Function,coreceptor activity involved in Wnt signaling pathway,GO:0071936,55
56,Molecular_Function,phosphatidylinositol 3-kinase regulatory subunit binding,GO:0036312,56
57,Molecular_Function,NADP-retinol dehydrogenase activity,GO:0052650,57
58,Molecular_Function,oleoyl-[acyl-carrier-protein] hydrolase activity,GO:0004320,58
59,Molecular_Function,iodide transmembrane transporter activity,GO:0015111,59
60,Molecular_Function,cytosine C-5 DNA demethylase activity,GO:0051747,60
61,Molecular_Function,pristanoyl-CoA oxidase activity,GO:0016402,61
62,Molecular_Function,sterol O-acyltransferase activity,GO:0004772,62
63,Molecular_Function,methyltransferase activity,GO:0008168,63
64,Molecular_Function,troponin I binding,GO:0031013,64
65,Molecular_Function,carbohydrate binding,GO:0030246,65
66,Molecular_Function,RNA-DNA hybrid ribonuclease activity,GO:0004523,66
67,Molecular_Function,U7 snRNA binding,GO:0071209,67
68,Molecular_Function,receptor inhibitor activity,GO:0030547,68
69,Molecular_Function,biotin binding,GO:0009374,69
70,Molecular_Function,glycolipid binding,GO:0051861,70
71,Molecular_Function,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",GO:0001077,71
72,Molecular_Function,palmitoyl-CoA hydrolase activity,GO:0016290,72
73,Molecular_Function,choline binding,GO:0033265,73
74,Molecular_Function,tripeptidase activity,GO:0034701,74
75,Molecular_Function,sequence-specific mRNA binding,GO:1990825,75
76,Molecular_Function,phosphate ion binding,GO:0042301,76
77,Molecular_Function,exo-alpha-(2->6)-sialidase activity,GO:0052795,77
78,Molecular_Function,long-chain-3-hydroxyacyl-CoA dehydrogenase activity,GO:0016509,78
79,Molecular_Function,phospholipase activity,GO:0004620,79
80,Molecular_Function,"transferase activity, transferring aldehyde or ketonic groups",GO:0016744,80
81,Molecular_Function,apolipoprotein receptor binding,GO:0034190,81
82,Molecular_Function,adenylyltransferase activity,GO:0070566,82
83,Molecular_Function,aspartate carbamoyltransferase activity,GO:0004070,83
84,Molecular_Function,lactose synthase activity,GO:0004461,84
85,Molecular_Function,symporter activity,GO:0015293,85
86,Molecular_Function,guanylyltransferase activity,GO:0070568,86
87,Molecular_Function,NAD-dependent protein deacetylase activity,GO:0034979,87
88,Molecular_Function,L-aspartate:2-oxoglutarate aminotransferase activity,GO:0004069,88
89,Molecular_Function,ferric iron binding,GO:0008199,89
90,Molecular_Function,ferric iron transmembrane transporter activity,GO:0015091,90
91,Molecular_Function,protein-cysteine S-palmitoyltransferase activity,GO:0019706,91
92,Molecular_Function,phosphatidyltransferase activity,GO:0030572,92
93,Molecular_Function,"transferase activity, transferring pentosyl groups",GO:0016763,93
94,Molecular_Function,dopamine receptor binding,GO:0050780,94
95,Molecular_Function,quinone binding,GO:0048038,95
96,Molecular_Function,histone demethylase activity (H3-K36 specific),GO:0051864,96
97,Molecular_Function,vitamin D receptor binding,GO:0042809,97
98,Molecular_Function,SUMO ligase activity,GO:0061665,98
99,Molecular_Function,ErbB-3 class receptor binding,GO:0043125,99
100,Molecular_Function,mismatch repair complex binding,GO:0032404,100
101,Molecular_Function,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity",GO:0008109,101
102,Molecular_Function,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity",GO:0003831,102
103,Molecular_Function,SNAP receptor activity,GO:0005484,103
104,Molecular_Function,protein serine/threonine kinase activator activity,GO:0043539,104
105,Molecular_Function,mRNA 3'-UTR binding,GO:0003730,105
106,Molecular_Function,glucose:sodium symporter activity,GO:0005412,106
107,Molecular_Function,glycine transmembrane transporter activity,GO:0015187,107
108,Molecular_Function,dynactin binding,GO:0034452,108
109,Molecular_Function,secondary active organic cation transmembrane transporter activity,GO:0008513,109
110,Molecular_Function,ribosomal protein S6 kinase activity,GO:0004711,110
111,Molecular_Function,melanocyte-stimulating hormone receptor activity,GO:0004980,111
112,Molecular_Function,transmembrane receptor protein tyrosine kinase activity,GO:0004714,112
113,Molecular_Function,"hydrolase activity, acting on acid anhydrides",GO:0016817,113
114,Molecular_Function,damaged DNA binding,GO:0003684,114
115,Molecular_Function,long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity,GO:0052853,115
116,Molecular_Function,sodium:inorganic phosphate symporter activity,GO:0015319,116
117,Molecular_Function,opioid receptor binding,GO:0031628,117
118,Molecular_Function,kininogen binding,GO:0030984,118
119,Molecular_Function,"lysine N-acetyltransferase activity, acting on acetyl phosphate as donor",GO:0004468,119
120,Molecular_Function,gamma-tubulin binding,GO:0043015,120
121,Molecular_Function,purine-rich negative regulatory element binding,GO:0032422,121
122,Molecular_Function,anion:cation symporter activity,GO:0015296,122
123,Molecular_Function,isoprenoid binding,GO:0019840,123
124,Molecular_Function,cysteine-tRNA ligase activity,GO:0004817,124
125,Molecular_Function,nucleotide-sugar transmembrane transporter activity,GO:0005338,125
126,Molecular_Function,purine-nucleoside phosphorylase activity,GO:0004731,126
127,Molecular_Function,beta-glucuronidase activity,GO:0004566,127
128,Molecular_Function,thyroid hormone receptor activity,GO:0004887,128
129,Molecular_Function,transmembrane receptor protein phosphatase activity,GO:0019198,129
130,Molecular_Function,oxygen sensor activity,GO:0019826,130
131,Molecular_Function,thiol-dependent ubiquitinyl hydrolase activity,GO:0036459,131
132,Molecular_Function,[methionine synthase] reductase activity,GO:0030586,132
133,Molecular_Function,POZ domain binding,GO:0031208,133
134,Molecular_Function,virion binding,GO:0046790,134
135,Molecular_Function,aldehyde-lyase activity,GO:0016832,135
136,Molecular_Function,benzodiazepine receptor binding,GO:0030156,136
137,Molecular_Function,histone methyltransferase activity (H3-K27 specific),GO:0046976,137
138,Molecular_Function,phosphate ion transmembrane transporter activity,GO:0015114,138
139,Molecular_Function,UDP-glucose:glycoprotein glucosyltransferase activity,GO:0003980,139
140,Molecular_Function,phosphorylase kinase regulator activity,GO:0008607,140
141,Molecular_Function,syndecan binding,GO:0045545,141
142,Molecular_Function,calcium-release channel activity,GO:0015278,142
143,Molecular_Function,MutLalpha complex binding,GO:0032405,143
144,Molecular_Function,phosphoglycolate phosphatase activity,GO:0008967,144
145,Molecular_Function,RNA guanylyltransferase activity,GO:0008192,145
146,Molecular_Function,epinephrine binding,GO:0051379,146
147,Molecular_Function,9-cis retinoic acid receptor activity,GO:0004886,147
148,Molecular_Function,bile acid receptor activity,GO:0038181,148
149,Molecular_Function,"fructose-2,6-bisphosphate 2-phosphatase activity",GO:0004331,149
150,Molecular_Function,histidine-tRNA ligase activity,GO:0004821,150
151,Molecular_Function,RNA polymerase II carboxy-terminal domain kinase activity,GO:0008353,151
152,Molecular_Function,ubiquitin binding,GO:0043130,152
153,Molecular_Function,double-stranded DNA binding,GO:0003690,153
154,Molecular_Function,dihydroceramidase activity,GO:0071633,154
155,Molecular_Function,dolichyl-phosphate-mannose-protein mannosyltransferase activity,GO:0004169,155
156,Molecular_Function,"transcriptional repressor activity, RNA polymerase II activating transcription factor binding",GO:0098811,156
157,Molecular_Function,androgen binding,GO:0005497,157
158,Molecular_Function,voltage-gated sodium channel activity involved in cardiac muscle cell action potential,GO:0086006,158
159,Molecular_Function,protein phosphatase 1 binding,GO:0008157,159
160,Molecular_Function,arginase activity,GO:0004053,160
161,Molecular_Function,UFM1 hydrolase activity,GO:0071567,161
162,Molecular_Function,prenylated protein tyrosine phosphatase activity,GO:0004727,162
163,Molecular_Function,activin-activated receptor activity,GO:0017002,163
164,Molecular_Function,methylated histone binding,GO:0035064,164
165,Molecular_Function,inositol trisphosphate phosphatase activity,GO:0046030,165
166,Molecular_Function,coenzyme A transmembrane transporter activity,GO:0015228,166
167,Molecular_Function,potassium ion binding,GO:0030955,167
168,Molecular_Function,histone demethylase activity (H3-K9 specific),GO:0032454,168
169,Molecular_Function,retinal binding,GO:0016918,169
170,Molecular_Function,structural molecule activity,GO:0005198,170
171,Molecular_Function,L-isoleucine transaminase activity,GO:0052656,171
172,Molecular_Function,ligand-dependent nuclear receptor transcription coactivator activity,GO:0030374,172
173,Molecular_Function,urate transmembrane transporter activity,GO:0015143,173
174,Molecular_Function,acetylcholine receptor activity,GO:0015464,174
175,Molecular_Function,dopamine transmembrane transporter activity,GO:0005329,175
176,Molecular_Function,growth factor activity,GO:0008083,176
177,Molecular_Function,pyrimidine nucleotide-sugar transmembrane transporter activity,GO:0015165,177
178,Molecular_Function,benzodiazepine receptor activity,GO:0008503,178
179,Molecular_Function,selenocysteine insertion sequence binding,GO:0035368,179
180,Molecular_Function,extracellular ligand-gated ion channel activity,GO:0005230,180
181,Molecular_Function,SH3/SH2 adaptor activity,GO:0005070,181
182,Molecular_Function,quaternary ammonium group transmembrane transporter activity,GO:0015651,182
183,Molecular_Function,O-acetyltransferase activity,GO:0016413,183
184,Molecular_Function,arginine transmembrane transporter activity,GO:0015181,184
185,Molecular_Function,scavenger receptor activity,GO:0005044,185
186,Molecular_Function,heme-copper terminal oxidase activity,GO:0015002,186
187,Molecular_Function,norepinephrine binding,GO:0051380,187
188,Molecular_Function,adenylate cyclase activity,GO:0004016,188
189,Molecular_Function,peptide binding,GO:0042277,189
190,Molecular_Function,phosphorylase activity,GO:0004645,190
191,Molecular_Function,ion gated channel activity,GO:0022839,191
192,Molecular_Function,lipase inhibitor activity,GO:0055102,192
193,Molecular_Function,GPI anchor binding,GO:0034235,193
194,Molecular_Function,calcitonin receptor activity,GO:0004948,194
195,Molecular_Function,gamma-aminobutyric acid transmembrane transporter activity,GO:0015185,195
196,Molecular_Function,translation repressor activity,GO:0030371,196
197,Molecular_Function,serine-type peptidase activity,GO:0008236,197
198,Molecular_Function,iron-sulfur cluster binding,GO:0051536,198
199,Molecular_Function,transmembrane receptor protein serine/threonine kinase activity,GO:0004675,199
200,Molecular_Function,exopeptidase activity,GO:0008238,200
201,Molecular_Function,"transforming growth factor beta receptor, inhibitory cytoplasmic mediator activity",GO:0030617,201
202,Molecular_Function,tricarboxylic acid transmembrane transporter activity,GO:0015142,202
203,Molecular_Function,chemoattractant activity,GO:0042056,203
204,Molecular_Function,histone pre-mRNA DCP binding,GO:0071208,204
205,Molecular_Function,AMP-activated protein kinase activity,GO:0004679,205
206,Molecular_Function,"interleukin-1, Type II, blocking receptor activity",GO:0004910,206
207,Molecular_Function,glutathione peroxidase activity,GO:0004602,207
208,Molecular_Function,carbon-nitrogen lyase activity,GO:0016840,208
209,Molecular_Function,protein binding involved in cell adhesion,GO:0098631,209
210,Molecular_Function,thiolester hydrolase activity,GO:0016790,210
211,Molecular_Function,heparanase activity,GO:0030305,211
212,Molecular_Function,L-asparagine transmembrane transporter activity,GO:0015182,212
213,Molecular_Function,proline-tRNA ligase activity,GO:0004827,213
214,Molecular_Function,oxidative phosphorylation uncoupler activity,GO:0017077,214
215,Molecular_Function,intermediate filament binding,GO:0019215,215
216,Molecular_Function,type III transforming growth factor beta receptor binding,GO:0034714,216
217,Molecular_Function,extracellular matrix structural constituent conferring compression resistance,GO:0030021,217
218,Molecular_Function,RNA polymerase I activity,GO:0001054,218
219,Molecular_Function,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity",GO:0034597,219
220,Molecular_Function,BMP binding,GO:0036122,220
221,Molecular_Function,superoxide dismutase activity,GO:0004784,221
222,Molecular_Function,NADPH binding,GO:0070402,222
223,Molecular_Function,carbamoyl-phosphate synthase (ammonia) activity,GO:0004087,223
224,Molecular_Function,catechol O-methyltransferase activity,GO:0016206,224
225,Molecular_Function,oxo-acid-lyase activity,GO:0016833,225
226,Molecular_Function,pyruvate transmembrane transporter activity,GO:0050833,226
227,Molecular_Function,ankyrin repeat binding,GO:0071532,227
228,Molecular_Function,glycine:sodium symporter activity,GO:0015375,228
229,Molecular_Function,polysaccharide binding,GO:0030247,229
230,Molecular_Function,exo-alpha-(2->8)-sialidase activity,GO:0052796,230
231,Molecular_Function,magnesium ion binding,GO:0000287,231
232,Molecular_Function,ATPase activity,GO:0016887,232
233,Molecular_Function,serotonin transmembrane transporter activity,GO:0015222,233
234,Molecular_Function,glutaminyl-peptide cyclotransferase activity,GO:0016603,234
235,Molecular_Function,dihydroorotase activity,GO:0004151,235
236,Molecular_Function,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",GO:0016641,236
237,Molecular_Function,PH domain binding,GO:0042731,237
238,Molecular_Function,myosin II binding,GO:0045159,238
239,Molecular_Function,protein tyrosine/serine/threonine phosphatase activity,GO:0008138,239
240,Molecular_Function,deoxycytidine kinase activity,GO:0004137,240
241,Molecular_Function,neuropeptide receptor binding,GO:0071855,241
242,Molecular_Function,lactose binding,GO:0030395,242
243,Molecular_Function,5'-flap endonuclease activity,GO:0017108,243
244,Molecular_Function,RNA polymerase I CORE element sequence-specific DNA binding,GO:0001164,244
245,Molecular_Function,lipase activity,GO:0016298,245
246,Molecular_Function,ion transmembrane transporter activity,GO:0015075,246
247,Molecular_Function,estrogen receptor activity,GO:0030284,247
248,Molecular_Function,GTPase binding,GO:0051020,248
249,Molecular_Function,protein-lysine 6-oxidase activity,GO:0004720,249
250,Molecular_Function,cyclase activator activity,GO:0010853,250
251,Molecular_Function,ethanol binding,GO:0035276,251
252,Molecular_Function,phospholipase A2 activity,GO:0004623,252
253,Molecular_Function,thiamine transmembrane transporter activity,GO:0015234,253
254,Molecular_Function,phosphatidylcholine transporter activity,GO:0008525,254
255,Molecular_Function,thiamine pyrophosphate binding,GO:0030976,255
256,Molecular_Function,serine-type endopeptidase activity,GO:0004252,256
257,Molecular_Function,diphosphotransferase activity,GO:0016778,257
258,Molecular_Function,"intramolecular oxidoreductase activity, transposing S-S bonds",GO:0016864,258
259,Molecular_Function,Ral guanyl-nucleotide exchange factor activity,GO:0008321,259
260,Molecular_Function,hexosaminidase activity,GO:0015929,260
261,Molecular_Function,piRNA binding,GO:0034584,261
262,Molecular_Function,oxaloacetate decarboxylase activity,GO:0008948,262
263,Molecular_Function,activin receptor binding,GO:0070697,263
264,Molecular_Function,adrenergic receptor activity,GO:0004935,264
265,Molecular_Function,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity",GO:0046934,265
266,Molecular_Function,single-stranded telomeric DNA binding,GO:0043047,266
267,Molecular_Function,thyroxine 5'-deiodinase activity,GO:0004800,267
268,Molecular_Function,nucleotide diphosphatase activity,GO:0004551,268
269,Molecular_Function,serotonin binding,GO:0051378,269
270,Molecular_Function,telomeric repeat-containing RNA binding,GO:0061752,270
271,Molecular_Function,interleukin-10 receptor activity,GO:0004920,271
272,Molecular_Function,guanyl nucleotide binding,GO:0019001,272
273,Molecular_Function,3-phosphoinositide-dependent protein kinase binding,GO:0043423,273
274,Molecular_Function,serine-type endopeptidase inhibitor activity,GO:0004867,274
275,Molecular_Function,insulin binding,GO:0043559,275
276,Molecular_Function,acetylcholine binding,GO:0042166,276
277,Molecular_Function,tumor necrosis factor binding,GO:0043120,277
278,Molecular_Function,palmitoleoyltransferase activity,GO:1990698,278
279,Molecular_Function,alpha-tubulin binding,GO:0043014,279
280,Molecular_Function,deoxyribonucleotide binding,GO:0032552,280
281,Molecular_Function,GTP binding,GO:0005525,281
282,Molecular_Function,sulfuric ester hydrolase activity,GO:0008484,282
283,Molecular_Function,malic enzyme activity,GO:0004470,283
284,Molecular_Function,vitamin D 24-hydroxylase activity,GO:0070576,284
285,Molecular_Function,lysozyme activity,GO:0003796,285
286,Molecular_Function,N-acetylglucosamine 6-O-sulfotransferase activity,GO:0001517,286
287,Molecular_Function,pre-mRNA intronic binding,GO:0097157,287
288,Molecular_Function,high-density lipoprotein particle receptor activity,GO:0070506,288
289,Molecular_Function,adenylate cyclase inhibiting G-protein coupled glutamate receptor activity,GO:0001640,289
290,Molecular_Function,H4 histone acetyltransferase activity,GO:0010485,290
291,Molecular_Function,polyol transmembrane transporter activity,GO:0015166,291
292,Molecular_Function,xylosyltransferase activity,GO:0042285,292
293,Molecular_Function,dipeptidyl-peptidase activity,GO:0008239,293
294,Molecular_Function,mechanically gated channel activity,GO:0022833,294
295,Molecular_Function,"transcriptional repressor activity, RNA polymerase II transcription factor binding",GO:0001191,295
296,Molecular_Function,toxic substance binding,GO:0015643,296
297,Molecular_Function,serine transmembrane transporter activity,GO:0022889,297
298,Molecular_Function,acetyl-CoA C-acetyltransferase activity,GO:0003985,298
299,Molecular_Function,1-phosphatidylinositol-4-phosphate 5-kinase activity,GO:0016308,299
300,Molecular_Function,malate dehydrogenase activity,GO:0016615,300
301,Molecular_Function,cholesterol 25-hydroxylase activity,GO:0001567,301
302,Molecular_Function,chondroitin-glucuronate 5-epimerase activity,GO:0047757,302
303,Molecular_Function,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity,GO:0033842,303
304,Molecular_Function,endopeptidase activity,GO:0004175,304
305,Molecular_Function,phospholipid scramblase activity,GO:0017128,305
306,Molecular_Function,serotonin receptor activity,GO:0099589,306
307,Molecular_Function,leucine binding,GO:0070728,307
308,Molecular_Function,MHC class II receptor activity,GO:0032395,308
309,Molecular_Function,voltage-gated chloride channel activity,GO:0005247,309
310,Molecular_Function,purine nucleotide transmembrane transporter activity,GO:0015216,310
311,Molecular_Function,single-stranded DNA 5'-3' exodeoxyribonuclease activity,GO:0045145,311
312,Molecular_Function,L-phenylalanine:2-oxoglutarate aminotransferase activity,GO:0080130,312
313,Molecular_Function,GPI-linked ephrin receptor activity,GO:0005004,313
314,Molecular_Function,estrogen response element binding,GO:0034056,314
315,Molecular_Function,histone kinase activity (H3-T6 specific),GO:0035403,315
316,Molecular_Function,protein phosphatase type 1 regulator activity,GO:0008599,316
317,Molecular_Function,aminoacylase activity,GO:0004046,317
318,Molecular_Function,vasoactive intestinal polypeptide receptor activity,GO:0004999,318
319,Molecular_Function,actin-dependent ATPase activity,GO:0030898,319
320,Molecular_Function,cysteine-type endopeptidase activator activity involved in apoptotic process,GO:0008656,320
321,Molecular_Function,neuropeptide binding,GO:0042923,321
322,Molecular_Function,serine C-palmitoyltransferase activity,GO:0004758,322
323,Molecular_Function,purine NTP-dependent helicase activity,GO:0070035,323
324,Molecular_Function,nucleic acid transmembrane transporter activity,GO:0051032,324
325,Molecular_Function,protein complex scaffold,GO:0032947,325
326,Molecular_Function,phosphatidylserine decarboxylase activity,GO:0004609,326
327,Molecular_Function,endogenous lipid antigen binding,GO:0030883,327
328,Molecular_Function,calcium channel regulator activity,GO:0005246,328
329,Molecular_Function,ferroxidase activity,GO:0004322,329
330,Molecular_Function,translation termination factor activity,GO:0008079,330
331,Molecular_Function,calcium-dependent phospholipase A2 activity,GO:0047498,331
332,Molecular_Function,1-acyl-2-lysophosphatidylserine acylhydrolase activity,GO:0052740,332
333,Molecular_Function,telomerase inhibitor activity,GO:0010521,333
334,Molecular_Function,intracellular ligand-gated ion channel activity,GO:0005217,334
335,Molecular_Function,deoxyribonuclease II activity,GO:0004531,335
336,Molecular_Function,inorganic anion transmembrane transporter activity,GO:0015103,336
337,Molecular_Function,transcription termination site sequence-specific DNA binding,GO:0001147,337
338,Molecular_Function,N-acylneuraminate cytidylyltransferase activity,GO:0008781,338
339,Molecular_Function,secondary active transmembrane transporter activity,GO:0015291,339
340,Molecular_Function,RNA polymerase I core binding,GO:0001042,340
341,Molecular_Function,fatty acid ligase activity,GO:0015645,341
342,Molecular_Function,"oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor",GO:0016653,342
343,Molecular_Function,troponin C binding,GO:0030172,343
344,Molecular_Function,cadmium ion binding,GO:0046870,344
345,Molecular_Function,protein self-association,GO:0043621,345
346,Molecular_Function,1-phosphatidylinositol binding,GO:0005545,346
347,Molecular_Function,GDP-dissociation inhibitor activity,GO:0005092,347
348,Molecular_Function,L-ornithine transmembrane transporter activity,GO:0000064,348
349,Molecular_Function,intracellular calcium activated chloride channel activity,GO:0005229,349
350,Molecular_Function,U4atac snRNA binding,GO:0030622,350
351,Molecular_Function,alcohol binding,GO:0043178,351
352,Molecular_Function,protein transmembrane transporter activity,GO:0008320,352
353,Molecular_Function,polydeoxyribonucleotide kinase activity,GO:0051733,353
354,Molecular_Function,beta-catenin destruction complex binding,GO:1904713,354
355,Molecular_Function,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity",GO:0047223,355
356,Molecular_Function,tubulin-glutamic acid ligase activity,GO:0070740,356
357,Molecular_Function,"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity",GO:0008499,357
358,Molecular_Function,type I transforming growth factor beta receptor binding,GO:0034713,358
359,Molecular_Function,protein tyrosine kinase inhibitor activity,GO:0030292,359
360,Molecular_Function,nitrate reductase activity,GO:0008940,360
361,Molecular_Function,activin binding,GO:0048185,361
362,Molecular_Function,interleukin-2 receptor binding,GO:0005134,362
363,Molecular_Function,sugar-terminal-phosphatase activity,GO:0050309,363
364,Molecular_Function,fructose-6-phosphate binding,GO:0070095,364
365,Molecular_Function,"oxidoreductase activity, acting on phosphorus or arsenic in donors, disulfide as acceptor",GO:0030614,365
366,Molecular_Function,E-box binding,GO:0070888,366
367,Molecular_Function,TBP-class protein binding,GO:0017025,367
368,Molecular_Function,low-density lipoprotein receptor activity,GO:0005041,368
369,Molecular_Function,hydroxyapatite binding,GO:0046848,369
370,Molecular_Function,small conductance calcium-activated potassium channel activity,GO:0016286,370
371,Molecular_Function,cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication,GO:0086083,371
372,Molecular_Function,phosphatidate cytidylyltransferase activity,GO:0004605,372
373,Molecular_Function,MDM2/MDM4 family protein binding,GO:0097371,373
374,Molecular_Function,peptide transmembrane transporter activity,GO:1904680,374
375,Molecular_Function,smoothened binding,GO:0005119,375
376,Molecular_Function,alpha-ketoacid dehydrogenase activity,GO:0003826,376
377,Molecular_Function,hemoglobin binding,GO:0030492,377
378,Molecular_Function,protein tyrosine phosphatase activity,GO:0004725,378
379,Molecular_Function,protein-arginine omega-N asymmetric methyltransferase activity,GO:0035242,379
380,Molecular_Function,"ATP-dependent microtubule motor activity, plus-end-directed",GO:0008574,380
381,Molecular_Function,oligopeptide binding,GO:1900750,381
382,Molecular_Function,"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters",GO:0016894,382
383,Molecular_Function,UDP-galactosyltransferase activity,GO:0035250,383
384,Molecular_Function,WD40-repeat domain binding,GO:0071987,384
385,Molecular_Function,sterol response element binding,GO:0032810,385
386,Molecular_Function,receptor signaling protein tyrosine kinase activity,GO:0004716,386
387,Molecular_Function,acetylgalactosaminyltransferase activity,GO:0008376,387
388,Molecular_Function,RNA polymerase binding,GO:0070063,388
389,Molecular_Function,soluble NSF attachment protein activity,GO:0005483,389
390,Molecular_Function,arachidonic acid monooxygenase activity,GO:0008391,390
391,Molecular_Function,thiamine uptake transmembrane transporter activity,GO:0015403,391
392,Molecular_Function,sodium-dependent L-ascorbate transmembrane transporter activity,GO:0070890,392
393,Molecular_Function,G-protein coupled serotonin receptor activity,GO:0004993,393
394,Molecular_Function,calcium- and calmodulin-responsive adenylate cyclase activity,GO:0008294,394
395,Molecular_Function,DNA topoisomerase activity,GO:0003916,395
396,Molecular_Function,iron ion transmembrane transporter activity,GO:0005381,396
397,Molecular_Function,actin binding,GO:0003779,397
398,Molecular_Function,phosphomannomutase activity,GO:0004615,398
399,Molecular_Function,leucine-tRNA ligase activity,GO:0004823,399
400,Molecular_Function,inositol-polyphosphate 5-phosphatase activity,GO:0004445,400
401,Molecular_Function,G-protein coupled chemoattractant receptor activity,GO:0001637,401
402,Molecular_Function,"transcription factor activity, RNA polymerase II transcription factor recruiting",GO:0001135,402
403,Molecular_Function,oxalate transmembrane transporter activity,GO:0019531,403
404,Molecular_Function,phosphoglucomutase activity,GO:0004614,404
